gh_id,gh_number_id,updated_at,followers
felipec,8358,2023-09-08T05:20:45Z,223
mhagger,119718,2023-09-19T16:00:12Z,494
dscho,127790,2023-09-17T11:20:06Z,816
peff,45925,2023-09-06T11:16:56Z,718
tina1998612,19768276,2023-09-06T11:14:31Z,1049
szeder,116324,2023-09-15T07:02:42Z,13
ttaylorr,443245,2023-09-20T11:18:33Z,620
rscharfe,26122331,2023-03-24T20:48:21Z,6
AdiChat,10634210,2023-07-16T16:01:40Z,3260
avar,45301,2023-03-07T18:17:35Z,276
VinayMavani,32626935,2017-10-09T03:08:46Z,17
torvalds,1024025,2023-08-15T05:21:45Z,191221
daab,973814,2023-07-08T14:11:10Z,1
derrickstolee,570044,2023-09-03T23:11:43Z,224
jrn,281595,2023-09-07T23:42:22Z,23
pclouds,720,2023-06-06T18:29:17Z,170
stefanbeller,455868,2022-05-02T16:09:43Z,52
drafnel,921167,2021-10-14T22:10:44Z,6
bk2204,497054,2023-08-30T23:40:10Z,167
newren,5455730,2023-09-04T17:58:32Z,118
RobinWu,12975,2022-03-15T06:26:52Z,33
jiangxin,183860,2023-08-09T02:30:41Z,861
gitster,54884,2023-06-09T05:15:56Z,3584
chriscool,208954,2023-08-29T13:32:00Z,91
